osm_id,name,city,state,lat,lon
505277707,Plaza Skate Parque,,,-23.0217103,-45.5492219
505888045,,,,-29.9159067,-51.2074849
506145064,,,,-28.0688318,-52.0141694
506327625,,,,-23.0885063,-47.2250709
506583748,,,,-21.7752688,-48.1719079
507126659,,,,-28.6641632,-49.4651178
507562835,Pista de Skate,,,-22.7089725,-47.363362
512033167,,,,-23.1273246,-47.2476583
514025249,,,,-25.3984482,-51.4713716
515051112,Júpiter Olímpico,São José do Rio Preto,,-20.8098813,-49.3660114
516899787,,,,-19.9242528,-43.9855223
517123532,,,,-3.7725976,-38.5118303
517299565,,,,-5.8970066,-35.2034773
518624822,Pista de Skate,,,-31.3929681,-52.6719036
519097281,,,,-30.3373279,-54.3145663
520704999,,,,-22.8767088,-47.0603144
520705003,,,,-22.8753206,-47.058838
524414514,,,,-28.6355297,-53.6177881
525727321,,,,-8.0391141,-34.9270183
526609371,,,,-28.2806701,-52.7999066
526664842,Pista de Skate,,,-9.3877927,-40.4977738
526891408,Pq. Josepha Coelho,,,-9.3889552,-40.5012771
527296700,,,,-30.0397195,-51.1730948
530396729,,,,-2.4930224,-44.2956425
531145452,,,,-7.0076303,-37.2879559
533946226,Marcelo Sanches - Cidadão Emérito,,,-23.5023604,-47.4374957
537432175,,,,-3.7994401,-40.2665238
539243876,,,,-23.0429058,-47.8398804
539423148,,,,-16.5984997,-49.2570948
541969802,Pista de Skate,,,-29.9589575,-51.7262134
542410158,,,,-19.7901327,-42.1347777
542473923,,,,-24.5216174,-53.2642091
